,Diabolo-RX,Diabolo-RY,Diabolo-RZ,Diabolo-RW,Diabolo-TX,Diabolo-TY,Diabolo-TZ,stick_left-RX,stick_left-RY,stick_left-RZ,stick_left-RW,stick_left-TX,stick_left-TY,stick_left-TZ,stick_right-RX,stick_right-RY,stick_right-RZ,stick_right-RW,stick_right-TX,stick_right-TY,stick_right-TZ
328,-0.613112,-0.369183,-0.201108,-0.668844,0.0,0.0,0.0,-0.175186,0.712593,0.671358,-0.10392,-0.447294922,0.7101864010000001,1.08196875,-0.664206,-0.162582,0.176096,0.708088,-0.328204742,0.8073010860000001,1.182556152
329,-0.654853,-0.281818,-0.301807,-0.632976,0.0,0.0,0.0,-0.178815,0.71456,0.66814,-0.104969,-0.448074432,0.7100622560000001,1.078628296,-0.6602,-0.164255,0.176191,0.711416,-0.32821972699999996,0.807763672,1.1856252440000001
330,-0.693221,-0.176955,-0.388218,-0.580877,0.0,0.0,0.0,-0.178612,0.716814,0.665582,-0.106186,-0.448046844,0.7101365359999999,1.0754929199999999,-0.660872,-0.16525,0.175413,0.710753,-0.328102814,0.808253052,1.187182617
331,-0.71213,-0.076679,-0.466273,-0.519212,0.0,0.0,0.0,-0.179901,0.715719,0.666043,-0.108482,-0.448198944,0.709687134,1.0733446039999999,-0.659058,-0.16638,0.174898,0.7123,-0.327994781,0.808750854,1.189624756
332,-0.710239,0.032085,-0.541728,-0.448399,0.0,0.0,0.0,-0.176881,0.717168,0.665254,-0.108718,-0.447324615,0.709929382,1.070786499,-0.657198,-0.168206,0.174428,0.713703,-0.32802691700000003,0.809144226,1.192062744
333,-0.703615,0.13762,-0.59211,-0.367956,0.0,0.0,0.0,-0.17559,0.718603,0.664032,-0.108812,-0.446824371,0.71002832,1.0681757809999999,-0.654217,-0.172776,0.17527,0.715143,-0.328770203,0.809364075,1.194745728
334,-0.675465,0.238183,-0.638605,-0.281422,0.0,0.0,0.0,-0.176359,0.71863,0.663457,-0.110877,-0.447028076,0.709831421,1.065933472,-0.651184,-0.171348,0.174167,0.718516,-0.32800265500000003,0.809901733,1.197830078
335,-0.61372,0.316369,-0.694374,-0.202737,0.0,0.0,0.0,-0.175197,0.71944,0.662738,-0.111764,-0.446670685,0.7098520509999999,1.063640381,-0.651446,-0.172091,0.173643,0.718228,-0.32789975,0.8103478390000001,1.19976123
336,,,,,0.0,0.0,0.0,-0.176702,0.719657,0.661944,-0.112694,-0.446701935,0.709589294,1.0612230219999998,-0.649359,-0.173435,0.173423,0.719845,-0.327881897,0.8106686399999999,1.202413818
337,,,,,0.0,0.0,0.0,-0.173626,0.72027,0.662118,-0.112539,-0.44564630099999997,0.709646851,1.059125732,-0.645654,-0.174527,0.173768,0.722825,-0.327904175,0.8109933469999999,1.205701294
