,index,Unnamed: 0,Frame,Sub Frame,Diabolo-RX,Diabolo-RY,Diabolo-RZ,Diabolo-TX,Diabolo-TY,Diabolo-TZ,stick_left-RX,stick_left-RY,stick_left-RZ,stick_left-TX,stick_left-TY,stick_left-TZ,stick_right-RX,stick_right-RY,stick_right-RZ,stick_right-TX,stick_right-TY,stick_right-TZ
0,15000,15000,15001,0,1.5549039845352686,0.7210898370540207,0.7657651370291202,-309.946259,751.387329,495.33548,1.7678202137036343,-0.0904933786904427,-3.0409813412345845,-413.098358,701.136963,979.300659,-1.0007383297042385,0.1988321843361028,0.3350124297081609,-205.159988,724.131287,1470.387329
1,15001,15001,15002,0,1.6353085467449295,0.4167547682583323,0.8512360591180823,-314.118774,749.735596,502.981079,1.773050915802458,-0.0876704696085009,-3.0400525030092687,-412.917236,701.27356,979.119202,-0.985808870699415,0.1935896544153436,0.3371588347852499,-204.208817,722.109375,1474.996582
2,15002,15002,15003,0,1.605977655387102,0.1340021777608711,0.8135226572384441,-312.205048,750.657776,502.632751,1.7743061737061383,-0.0857724904832104,-3.040204988582174,-412.461884,701.279175,979.262512,-0.976996986666508,0.1853244493761786,0.3346271577617659,-203.175751,720.458862,1478.932495
3,15003,15003,15004,0,1.6218450228753067,-0.1581249557529219,0.822196430346364,-313.746826,750.540161,506.090576,1.7763164223533947,-0.0835902979359229,-3.0430445541363778,-411.785156,701.385559,979.362183,-0.9680699981017172,0.1835507970323537,0.34018672513823,-202.593079,718.882385,1482.612183
4,15004,15004,15005,0,,,,,,,1.7776736737841126,-0.0817192094248363,-3.04338981160542,-411.321777,701.383789,979.511719,-0.9586496861548296,0.1759814210877188,0.3408729933553688,-201.814835,717.071594,1486.516846
5,15005,15005,15006,0,,,,,,,1.7725850640405414,-0.0852276321291683,-3.0451253755717995,-410.571686,701.340332,980.493896,-0.941096977821242,0.1687615653743901,0.3409297929370357,-200.564697,714.843384,1491.294312
6,15006,15006,15007,0,1.6484638179177802,-1.0372060513551813,0.7249919353925629,-310.09726,754.756409,511.749695,1.776402504792554,-0.07959447103816,-3.0381904103085926,-411.027588,701.304382,980.41333,-0.9336999616310604,0.1641753518729429,0.3403795749957363,-199.655014,713.183533,1494.946899
7,15007,15007,15008,0,1.7087782451383198,-1.3145299094027791,0.6698645619236373,-310.326202,755.060913,513.925232,1.7769956714183774,-0.0760848653488929,-3.038205167405452,-410.56601,701.35022,980.73877,-0.9248901058530196,0.1598165791116983,0.3402637522298457,-198.647125,711.414673,1498.715454
8,15008,15008,15009,0,-1.777507023025305,-1.5273647936030676,-2.1304215739750174,-310.346252,755.884521,514.4104,1.7772468492351967,-0.075173957253341,-3.038519886595176,-410.199036,701.43689,981.245178,-0.9154198018155556,0.1549890612229,0.340344130570438,-197.695419,709.572388,1502.544067
9,15009,15009,15010,0,-1.5909292367465786,-1.2387038882225556,-2.326815267615949,-309.612366,756.82605,516.727234,1.778128985913232,-0.0718654471060074,-3.0384938491235878,-409.767334,701.478149,981.55957,-0.9037651171809372,0.1487054062273896,0.340116520567423,-196.604965,707.527771,1506.466675
10,15010,15010,15011,0,-1.4941003042201166,-0.9496807545909424,-2.427225576215345,-308.645081,758.373962,514.727478,1.778190855810185,-0.0695970494821525,-3.0383050965381373,-409.371582,701.548401,982.100464,-0.8960212672430864,0.1454442936666714,0.340461806940834,-195.711731,705.839661,1509.978027
11,15011,15011,15012,0,,,,,,,1.778237556738215,-0.0667156602515615,-3.038208251644289,-408.983917,701.642639,982.656555,-0.8905703384382464,0.1425670411330764,0.3389456374374781,-194.751373,704.36261,1513.299072
12,15012,15012,15013,0,,,,,,,1.7815055640775626,-0.0625037962983017,-3.032762249743945,-409.451813,701.826782,982.944031,-0.8806482929797451,0.1402247597929501,0.3402148929951639,-193.685806,702.478088,1516.913452
13,15013,15013,15014,0,,,,,,,1.7817858868443708,-0.0600329610011398,-3.0321754854094367,-409.216064,701.942444,983.538147,-0.8745060492022123,0.1367124125256992,0.33908876327137,-192.740906,700.92511,1520.218262
14,15014,15014,15015,0,,,,,,,1.7842316268471383,-0.0572653913431606,-3.035150740024568,-408.645294,702.210449,984.040894,-0.8653726516667158,0.1342220043322015,0.3405988073810715,-191.76326,699.109497,1523.688477
15,15015,15015,15016,0,,,,,,,1.7798539527034312,-0.0557753854106232,-3.03255494857454,-408.508942,702.203064,985.161926,-0.8573748956910318,0.1311746528812118,0.3404169548776855,-190.757828,697.411865,1526.982422
16,15016,15016,15017,0,,,,,,,1.778743867532542,-0.0563089584207187,-3.040975089562789,-407.147278,702.399353,986.002747,-0.8498920706350991,0.1282765013652449,0.340738178951059,-189.826736,695.774475,1530.20813
17,15017,15017,15018,0,,,,,,,1.7745597272240716,-0.0552286522553131,-3.040196056243769,-406.771027,702.334045,987.137695,-0.8426465191599057,0.126327082852664,0.3403876810946272,-188.76712,694.197876,1533.324341
18,15018,15018,15019,0,-1.854322233129708,1.3757737580797582,-2.6130461335815784,-311.753326,756.511108,545.166565,1.7809500015385014,-0.0500710323073562,-3.0326726259099317,-407.702942,702.73291,987.371887,-0.8358940481047492,0.1243199776608806,0.3404038227393348,-187.809784,692.691589,1536.328857
19,15019,15019,15020,0,2.0672592110728707,1.4521001319065583,1.2950919858856833,-312.465027,757.025574,547.151367,1.779300252464916,-0.0472584428016812,-3.030233096479518,-407.636078,702.796631,988.400269,-0.8303587521233415,0.1220460630931397,0.3396713950534883,-186.844788,691.302917,1539.175903
20,15020,15020,15021,0,1.7144659211402886,1.1739282366037067,0.9410801655283813,-313.415375,756.383301,548.824402,1.7765458248679535,-0.0464090506241014,-3.029264160218435,-407.564941,703.031189,989.721191,-0.8258983253430621,0.1202542560833491,0.3385648947713975,-185.969406,690.061035,1541.879395
