Frame,Time (Seconds),stick_right-rotationX,stick_right-rotationY,stick_right-rotationZ,stick_right-rotationW,stick_right-positionX,stick_right-positionY,stick_right-positionZ,stick_left-rotationX,stick_left-rotationY,stick_left-rotationZ,stick_left-rotationW,stick_left-positionX,stick_left-positionY,stick_left-positionZ
4128,34.400000,0.271255,-0.047583,-0.835281,-0.475880,0.356563,-0.001828,0.961652,0.596445,0.664641,0.350507,0.282224,-0.379462,-0.025736,1.050705
4129,34.408333,0.270730,-0.045616,-0.833086,-0.480200,0.369283,-0.002949,0.967859,0.597218,0.663326,0.348897,0.285657,-0.375496,-0.023532,1.048284
4130,34.416667,0.271239,-0.042939,-0.829883,-0.485674,0.382639,-0.004114,0.974498,0.598565,0.662428,0.346376,0.287981,-0.371564,-0.021417,1.045826
4131,34.425000,0.272024,-0.038904,-0.826352,-0.491560,0.396515,-0.005306,0.981577,0.601132,0.661562,0.342208,0.289601,-0.367710,-0.019448,1.043382
4132,34.433333,0.274183,-0.034048,-0.822337,-0.497419,0.410908,-0.006604,0.989111,0.604792,0.660794,0.336815,0.290058,-0.363899,-0.017531,1.041008
4133,34.441667,0.277131,-0.028662,-0.817357,-0.504287,0.425759,-0.008018,0.997136,0.609652,0.659760,0.330582,0.289406,-0.360078,-0.015689,1.038764
4134,34.450000,0.279880,-0.023132,-0.811463,-0.512504,0.441021,-0.009613,1.005665,0.615189,0.658584,0.323712,0.288131,-0.356288,-0.013914,1.036661
4135,34.458333,0.281838,-0.016771,-0.805332,-0.521274,0.456711,-0.011287,1.014745,0.620997,0.657027,0.317034,0.286647,-0.352518,-0.012176,1.034679
4136,34.466667,0.284099,-0.010900,-0.798191,-0.531094,0.472737,-0.013046,1.024463,0.626401,0.655379,0.310816,0.285471,-0.348790,-0.010522,1.032892
4137,34.475000,0.286639,-0.005167,-0.790336,-0.541462,0.489049,-0.014926,1.034796,0.631133,0.653508,0.305861,0.284688,-0.345118,-0.008922,1.031329
4138,34.483333,0.287867,0.002616,-0.782353,-0.552313,0.505547,-0.017117,1.045628,0.635025,0.651614,0.301931,0.284568,-0.341503,-0.007345,1.030005
4139,34.491667,0.289903,0.009173,-0.773206,-0.563937,0.522239,-0.019520,1.056997,0.638311,0.649332,0.299537,0.284963,-0.338008,-0.005829,1.028961
4140,34.500000,0.290796,0.015573,-0.763655,-0.576217,0.539045,-0.022139,1.068864,0.641038,0.646863,0.298565,0.285479,-0.334627,-0.004352,1.028254
4141,34.508333,0.290899,0.021761,-0.752954,-0.589886,0.555937,-0.025014,1.081239,0.643274,0.644154,0.299175,0.285933,-0.331353,-0.002887,1.027890
4142,34.516667,0.290504,0.028326,-0.741893,-0.603655,0.572781,-0.028138,1.094088,0.645578,0.640900,0.300810,0.286336,-0.328193,-0.001448,1.028043
4143,34.525000,0.290534,0.035686,-0.730032,-0.617551,0.589483,-0.031570,1.107382,0.647462,0.637494,0.303588,0.286756,-0.325155,0.000001,1.028603
4144,34.533333,0.290752,0.043603,-0.717168,-0.631848,0.606047,-0.035320,1.121092,0.649113,0.633887,0.307496,0.286855,-0.322245,0.001443,1.029560
4145,34.541667,0.291219,0.052200,-0.703999,-0.645641,0.622380,-0.039353,1.135175,0.650662,0.630057,0.311704,0.287241,-0.319462,0.002845,1.030960
4146,34.550000,0.292181,0.061188,-0.689355,-0.660058,0.638415,-0.043744,1.149630,0.652227,0.625805,0.316540,0.287699,-0.316784,0.004163,1.032719
4147,34.558333,0.293160,0.071185,-0.674303,-0.674022,0.654046,-0.048428,1.164399,0.653466,0.621899,0.321695,0.287640,-0.314214,0.005470,1.034883
4148,34.566667,0.295406,0.081218,-0.657766,-0.688101,0.669192,-0.053480,1.179430,0.656027,0.616397,0.327072,0.287589,-0.311742,0.006627,1.037512
4149,34.575000,0.297817,0.093466,-0.641095,-0.701118,0.683781,-0.058766,1.194688,0.658496,0.611153,0.333041,0.286287,-0.309296,0.007769,1.040588
4150,34.583333,0.302474,0.105436,-0.625210,-0.711692,0.697711,-0.064166,1.210141,0.662217,0.604839,0.338557,0.284636,-0.306933,0.008850,1.044131
4151,34.591667,0.307297,0.117808,-0.605195,-0.724865,0.710738,-0.069998,1.225690,0.666682,0.598121,0.343972,0.281903,-0.304674,0.009807,1.048124
4152,34.600000,0.313315,0.131168,-0.586839,-0.735016,0.722870,-0.075886,1.241398,0.672042,0.590512,0.349307,0.278640,-0.302474,0.010645,1.052588
4153,34.608333,0.314690,0.147033,-0.568857,-0.745488,0.733784,-0.081564,1.257230,0.677909,0.582472,0.355197,0.273863,-0.300354,0.011379,1.057582
4154,34.616667,0.315485,0.165299,-0.554257,-0.752293,0.743545,-0.087651,1.272961,0.684218,0.573963,0.360516,0.269147,-0.298367,0.011943,1.063067
4155,34.625000,0.321585,0.175677,-0.540806,-0.757133,0.752064,-0.093736,1.288681,0.690449,0.565051,0.366572,0.263861,-0.296497,0.012356,1.068973
4156,34.633333,0.317388,0.191826,-0.527357,-0.764436,0.759303,-0.098901,1.304430,0.695925,0.556756,0.372439,0.258846,-0.294844,0.012571,1.075221
4157,34.641667,0.314284,0.205411,-0.515706,-0.770116,0.765523,-0.104003,1.320010,0.701299,0.547587,0.379248,0.253967,-0.293430,0.012608,1.081964
4158,34.650000,0.310894,0.217441,-0.505558,-0.774903,0.770743,-0.109061,1.335408,0.705932,0.537413,0.388562,0.248728,-0.292365,0.012486,1.089284
4159,34.658333,0.308806,0.228262,-0.498477,-0.777211,0.775066,-0.114241,1.350550,0.708899,0.527635,0.399074,0.244550,-0.291753,0.012228,1.097129
